algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,seed_tag
astar,1,1.4142135623730951,0.0,0.0081000034697353,2,random_generated,20,0.7,3,3,seed42
weighted_astar,1,1.4142135623730951,0.0,0.005500012775883,2,random_generated,20,0.7,3,3,seed42
jps_like,1,2.0,1.0,0.0125999795272946,3,random_generated,20,0.7,3,3,seed42
improved_astar,1,1.4142135623730951,0.0,0.011099997209385,3,random_generated,20,0.7,3,3,seed42
dijkstra,1,4.82842712474619,2.0,0.02809998113662,8,random_generated,20,0.7,4,4,seed42
astar,1,4.82842712474619,2.0,0.0174999877344816,5,random_generated,20,0.7,4,4,seed42
weighted_astar,1,4.82842712474619,2.0,0.0148999970406293,5,random_generated,20,0.7,4,4,seed42
jps_like,0,,,0.0042000028770416,1,random_generated,20,0.7,4,4,seed42
improved_astar,0,,,0.0041000021155923,1,random_generated,20,0.7,4,4,seed42
dijkstra,1,2.414213562373095,1.0,0.0263999972958117,7,random_generated,20,0.7,5,5,seed42
astar,1,2.414213562373095,1.0,0.012300006346777,3,random_generated,20,0.7,5,5,seed42
weighted_astar,1,2.414213562373095,1.0,0.0096000148914754,3,random_generated,20,0.7,5,5,seed42
jps_like,0,,,0.0283000117633491,7,random_generated,20,0.7,5,5,seed42
improved_astar,0,,,0.025899993488565,7,random_generated,20,0.7,5,5,seed42
dijkstra,1,6.82842712474619,2.0,0.0538000022061169,19,random_generated,20,0.7,6,6,seed42
astar,1,6.82842712474619,2.0,0.0216999906115233,7,random_generated,20,0.7,6,6,seed42
weighted_astar,1,6.82842712474619,2.0,0.0199000060092657,7,random_generated,20,0.7,6,6,seed42
jps_like,1,8.0,2.0,0.0397000112570822,9,random_generated,20,0.7,6,6,seed42
improved_astar,1,7.23606797749979,2.0,0.0391000066883862,9,random_generated,20,0.7,6,6,seed42
dijkstra,1,1.4142135623730951,0.0,0.0155000016093254,5,random_generated,20,0.7,7,7,seed42
astar,1,1.4142135623730951,0.0,0.0068000226747244,2,random_generated,20,0.7,7,7,seed42
weighted_astar,1,1.4142135623730951,0.0,0.0054000120144337,2,random_generated,20,0.7,7,7,seed42
jps_like,1,2.0,1.0,0.013599987141788,3,random_generated,20,0.7,7,7,seed42
improved_astar,1,1.4142135623730951,0.0,0.0125000078696757,3,random_generated,20,0.7,7,7,seed42
dijkstra,1,6.82842712474619,3.0,0.0542000052519142,19,random_generated,20,0.7,8,8,seed42
astar,1,6.82842712474619,3.0,0.0279999803751707,8,random_generated,20,0.7,8,8,seed42
weighted_astar,1,6.82842712474619,3.0,0.0248999858740717,8,random_generated,20,0.7,8,8,seed42
jps_like,1,8.0,3.0,0.0602999934926629,13,random_generated,20,0.7,8,8,seed42
improved_astar,1,7.414213562373095,2.0,0.0593000149819999,13,random_generated,20,0.7,8,8,seed42
dijkstra,1,5.242640687119286,3.0,0.0277000071946531,9,random_generated,20,0.7,9,9,seed42
astar,1,5.242640687119286,3.0,0.0175000168383121,6,random_generated,20,0.7,9,9,seed42
weighted_astar,1,5.242640687119286,3.0,0.014499993994832,5,random_generated,20,0.7,9,9,seed42
jps_like,0,,,0.010199990356341,3,random_generated,20,0.7,9,9,seed42
improved_astar,0,,,0.0096000148914754,3,random_generated,20,0.7,9,9,seed42
dijkstra,1,4.82842712474619,2.0,0.0134000147227197,5,random_generated,20,0.7,10,10,seed42
astar,1,4.82842712474619,2.0,0.0118000025395303,5,random_generated,20,0.7,10,10,seed42
weighted_astar,1,4.82842712474619,2.0,0.0105000217445194,5,random_generated,20,0.7,10,10,seed42
jps_like,0,,,0.0032000243663787,1,random_generated,20,0.7,10,10,seed42
improved_astar,0,,,0.0028999929782003,1,random_generated,20,0.7,10,10,seed42
dijkstra,1,6.242640687119285,2.0,0.0406000181101262,16,random_generated,20,0.7,11,11,seed42
astar,1,6.242640687119285,3.0,0.0238000066019594,8,random_generated,20,0.7,11,11,seed42
weighted_astar,1,6.242640687119285,4.0,0.019400002202019,7,random_generated,20,0.7,11,11,seed42
jps_like,0,,,0.02219999441877,6,random_generated,20,0.7,11,11,seed42
improved_astar,0,,,0.0211000151466578,6,random_generated,20,0.7,11,11,seed42
dijkstra,1,4.242640687119286,2.0,0.0156000023707747,4,random_generated,20,0.7,12,12,seed42
astar,1,4.242640687119286,2.0,0.0125000078696757,4,random_generated,20,0.7,12,12,seed42
weighted_astar,1,4.242640687119286,2.0,0.0083999766502529,4,random_generated,20,0.7,12,12,seed42
jps_like,0,,,0.004000001354143,1,random_generated,20,0.7,12,12,seed42
improved_astar,0,,,0.0042000028770416,1,random_generated,20,0.7,12,12,seed42
dijkstra,1,2.0,0.0,0.0235000043176114,6,random_generated,20,0.7,13,13,seed42
astar,1,2.0,0.0,0.0122000055853277,3,random_generated,20,0.7,13,13,seed42
weighted_astar,1,2.0,0.0,0.0098000164143741,3,random_generated,20,0.7,13,13,seed42
jps_like,1,2.0,0.0,0.0106000225059688,2,random_generated,20,0.7,13,13,seed42
improved_astar,1,2.0,0.0,0.0103999918792396,2,random_generated,20,0.7,13,13,seed42
dijkstra,1,7.82842712474619,4.0,0.0583000073675066,23,random_generated,20,0.7,14,14,seed42
astar,1,7.82842712474619,4.0,0.0392000074498355,9,random_generated,20,0.7,14,14,seed42
weighted_astar,1,7.82842712474619,4.0,0.0249000149779021,8,random_generated,20,0.7,14,14,seed42
jps_like,0,,,0.0561000197194516,15,random_generated,20,0.7,14,14,seed42
improved_astar,0,,,0.0556000159122049,15,random_generated,20,0.7,14,14,seed42
dijkstra,1,6.242640687119285,1.0,0.0335000222548842,13,random_generated,20,0.7,15,15,seed42
astar,1,6.242640687119285,1.0,0.0223999959416687,7,random_generated,20,0.7,15,15,seed42
weighted_astar,1,6.242640687119285,1.0,0.0202000082936137,7,random_generated,20,0.7,15,15,seed42
jps_like,0,,,0.0222999951802194,6,random_generated,20,0.7,15,15,seed42
improved_astar,0,,,0.0212000159081071,6,random_generated,20,0.7,15,15,seed42
dijkstra,1,5.242640687119286,2.0,0.028999987989664,11,random_generated,20,0.7,16,16,seed42
astar,1,5.242640687119286,2.0,0.0200999784283339,7,random_generated,20,0.7,16,16,seed42
weighted_astar,1,5.242640687119286,2.0,0.0188999983947724,7,random_generated,20,0.7,16,16,seed42
