algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
jps_like,1,1.4142135623730951,0,0.010900010238401592,2,20,0.7,2,2
improved_astar,1,1.4142135623730951,0,0.01069999416358769,2,20,0.7,2,2
dijkstra,1,1.4142135623730951,0,0.013700002455152571,3,20,0.7,3,3
astar,1,1.4142135623730951,0,0.007199996616691351,2,20,0.7,3,3
weighted_astar,1,1.4142135623730951,0,0.005699999746866524,2,20,0.7,3,3
jps_like,1,1.4142135623730951,0,0.009900002623908222,2,20,0.7,3,3
improved_astar,1,1.4142135623730951,0,0.00960000033956021,2,20,0.7,3,3
dijkstra,1,4.82842712474619,2,0.032500000088475645,8,20,0.7,4,4
astar,1,4.82842712474619,2,0.01930000144056976,5,20,0.7,4,4
weighted_astar,1,4.82842712474619,2,0.01579998934175819,5,20,0.7,4,4
jps_like,1,4.82842712474619,2,0.017999991541728377,4,20,0.7,4,4
improved_astar,1,4.0,1,0.02469999890308827,5,20,0.7,4,4
dijkstra,1,2.414213562373095,1,0.024600012693554163,7,20,0.7,5,5
astar,1,2.414213562373095,1,0.012200005585327744,3,20,0.7,5,5
weighted_astar,1,2.414213562373095,1,0.010200004908256233,3,20,0.7,5,5
jps_like,1,2.414213562373095,1,0.01580000389367342,3,20,0.7,5,5
improved_astar,1,2.23606797749979,0,0.015300000086426735,3,20,0.7,5,5
dijkstra,1,6.82842712474619,2,0.059399986639618874,19,20,0.7,6,6
astar,1,6.82842712474619,2,0.02439999661874026,7,20,0.7,6,6
weighted_astar,1,6.82842712474619,2,0.0219999928958714,7,20,0.7,6,6
jps_like,1,6.82842712474619,3,0.039700011257082224,7,20,0.7,6,6
improved_astar,1,6.47213595499958,2,0.0467000063508749,9,20,0.7,6,6
dijkstra,1,1.4142135623730951,0,0.016999998479150236,5,20,0.7,7,7
astar,1,1.4142135623730951,0,0.007599999662488699,2,20,0.7,7,7
weighted_astar,1,1.4142135623730951,0,0.006600006599910557,2,20,0.7,7,7
jps_like,1,1.4142135623730951,0,0.008799994247965515,2,20,0.7,7,7
improved_astar,1,1.4142135623730951,0,0.008399991202168167,2,20,0.7,7,7
dijkstra,1,6.82842712474619,3,0.05660000897478312,19,20,0.7,8,8
astar,1,6.82842712474619,3,0.031099989428184927,8,20,0.7,8,8
weighted_astar,1,6.82842712474619,3,0.027900008717551827,8,20,0.7,8,8
jps_like,1,6.82842712474619,3,0.045900000259280205,8,20,0.7,8,8
improved_astar,1,6.82842712474619,3,0.05990000499878079,11,20,0.7,8,8
dijkstra,1,5.242640687119286,3,0.029999995604157448,9,20,0.7,9,9
astar,1,5.242640687119286,3,0.01990000600926578,6,20,0.7,9,9
weighted_astar,1,5.242640687119286,3,0.01619999238755554,5,20,0.7,9,9
jps_like,1,5.242640687119286,3,0.030199997127056122,6,20,0.7,9,9
improved_astar,1,4.414213562373095,2,0.030099996365606785,6,20,0.7,9,9
dijkstra,1,4.82842712474619,2,0.015500001609325409,5,20,0.7,10,10
astar,1,4.82842712474619,2,0.014899997040629387,5,20,0.7,10,10
weighted_astar,1,4.82842712474619,2,0.011600001016631722,5,20,0.7,10,10
jps_like,1,4.82842712474619,2,0.017300000763498247,5,20,0.7,10,10
improved_astar,1,4.82842712474619,2,0.017400001524947584,5,20,0.7,10,10
dijkstra,1,6.242640687119285,2,0.04959999932907522,16,20,0.7,11,11
astar,1,6.242640687119285,3,0.02819999644998461,8,20,0.7,11,11
weighted_astar,1,6.242640687119285,4,0.03670000296551734,7,20,0.7,11,11
jps_like,1,6.242640687119285,3,0.09839999256655574,8,20,0.7,11,11
improved_astar,1,5.16227766016838,1,0.049299997044727206,9,20,0.7,11,11
dijkstra,1,4.242640687119286,2,0.014699995517730713,4,20,0.7,12,12
astar,1,4.242640687119286,2,0.011199997970834374,4,20,0.7,12,12
weighted_astar,1,4.242640687119286,2,0.009399998816661537,4,20,0.7,12,12
jps_like,1,4.242640687119286,2,0.015099998563528061,4,20,0.7,12,12
improved_astar,1,3.414213562373095,1,0.014199991710484028,4,20,0.7,12,12
dijkstra,1,2.0,0,0.029199989512562752,6,20,0.7,13,13
astar,1,2.0,0,0.014499993994832039,3,20,0.7,13,13
weighted_astar,1,2.0,0,0.011199997970834374,3,20,0.7,13,13
jps_like,1,2.0,0,0.011899988749064505,2,20,0.7,13,13
improved_astar,1,2.0,0,0.019700004486367106,3,20,0.7,13,13
dijkstra,1,7.82842712474619,4,0.06720000237692147,23,20,0.7,14,14
astar,1,7.82842712474619,4,0.03499999002087861,9,20,0.7,14,14
weighted_astar,1,7.82842712474619,4,0.02820001100189984,8,20,0.7,14,14
jps_like,1,7.82842712474619,4,0.04980000085197389,9,20,0.7,14,14
improved_astar,1,7.06449510224598,2,0.07179999374784529,14,20,0.7,14,14
dijkstra,1,6.242640687119285,1,0.04909999552182853,13,20,0.7,15,15
astar,1,6.242640687119285,1,0.026399997295811772,7,20,0.7,15,15
weighted_astar,1,6.242640687119285,1,0.024100008886307478,7,20,0.7,15,15
jps_like,1,6.242640687119285,2,0.02849999873433262,5,20,0.7,15,15
improved_astar,1,5.841619252963779,1,0.035900011425837874,7,20,0.7,15,15
dijkstra,1,5.242640687119286,2,0.03260000084992498,11,20,0.7,16,16
astar,1,5.242640687119286,2,0.023300002794712782,7,20,0.7,16,16
weighted_astar,1,5.242640687119286,2,0.020799998310394585,7,20,0.7,16,16
jps_like,1,5.242640687119286,2,0.03239999932702631,7,20,0.7,16,16
improved_astar,1,4.23606797749979,2,0.03540000761859119,8,20,0.7,16,16
dijkstra,1,2.414213562373095,1,0.023300002794712782,7,20,0.7,17,17
astar,1,2.414213562373095,1,0.01170000177808106,3,20,0.7,17,17
weighted_astar,1,2.414213562373095,1,0.010200004908256233,3,20,0.7,17,17
jps_like,1,2.414213562373095,1,0.016200006939470768,3,20,0.7,17,17
improved_astar,1,2.414213562373095,1,0.015500001609325409,3,20,0.7,17,17
dijkstra,1,2.414213562373095,1,0.01920000067912042,6,20,0.7,18,18
astar,1,2.414213562373095,1,0.010599993402138352,3,20,0.7,18,18
weighted_astar,1,2.414213562373095,1,0.009199997293762863,3,20,0.7,18,18
jps_like,1,2.414213562373095,1,0.013299999409355223,3,20,0.7,18,18
improved_astar,1,2.23606797749979,0,0.0185999961104244,4,20,0.7,18,18
dijkstra,1,6.82842712474619,3,0.07439999899361283,25,20,0.7,19,19
astar,1,6.82842712474619,3,0.032500000088475645,9,20,0.7,19,19
weighted_astar,1,6.82842712474619,3,0.030700000934302807,9,20,0.7,19,19
jps_like,1,6.82842712474619,3,0.05699999746866524,9,20,0.7,19,19
improved_astar,1,6.650281539872885,3,0.07490000280085951,12,20,0.7,19,19
dijkstra,1,2.0,0,0.008200004231184721,3,20,0.7,20,20
astar,1,2.0,0,0.007499998901039362,3,20,0.7,20,20
weighted_astar,1,2.0,0,0.006399990525096655,3,20,0.7,20,20
jps_like,1,2.0,0,0.011500000255182385,3,20,0.7,20,20
improved_astar,1,2.0,0,0.010900010238401592,3,20,0.7,20,20
dijkstra,1,2.414213562373095,1,0.01239999255631119,4,20,0.7,21,21
astar,1,2.414213562373095,1,0.00859999272506684,3,20,0.7,21,21
weighted_astar,1,2.414213562373095,1,0.007499998901039362,3,20,0.7,21,21
jps_like,1,2.414213562373095,1,0.0109999964479357,3,20,0.7,21,21
improved_astar,1,2.414213562373095,1,0.01069999416358769,3,20,0.7,21,21
dijkstra,1,5.242640687119285,2,0.052799994591623545,16,20,0.7,22,22
astar,1,5.242640687119285,2,0.022499996703118086,6,20,0.7,22,22
weighted_astar,1,5.242640687119285,2,0.018799997633323073,6,20,0.7,22,22
jps_like,1,5.242640687119285,2,0.03239999932702631,6,20,0.7,22,22
improved_astar,1,4.23606797749979,1,0.036999990697950125,7,20,0.7,22,22
dijkstra,1,17.142135623730955,7,0.11149999045301229,40,20,0.7,23,23
