algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
weighted_astar,1,28.142135623730958,12,0.159399991389364,34,80,0.3,1,1
jps_like,1,27.31370849898476,7,0.9921000018948689,111,80,0.3,1,1
improved_astar,1,24.591032963050385,6,0.16909999249037355,18,80,0.3,1,1
dijkstra,1,39.8700576850888,12,5.473600002005696,1705,80,0.3,2,2
astar,1,39.8700576850888,12,0.5305999948177487,126,80,0.3,2,2
weighted_astar,1,40.698484809834994,16,0.17780000052880496,38,80,0.3,2,2
jps_like,1,39.870057685088796,14,1.0864000068977475,125,80,0.3,2,2
improved_astar,1,37.04966880880407,9,0.3833999944617972,39,80,0.3,2,2
dijkstra,1,42.79898987322332,17,8.832300009089522,2658,80,0.3,3,3
astar,1,42.79898987322332,16,0.6543000054080039,159,80,0.3,3,3
weighted_astar,1,43.8700576850888,20,0.2302999928360805,54,80,0.3,3,3
jps_like,1,42.79898987322332,17,1.3011000119149685,158,80,0.3,3,3
improved_astar,1,39.953886980894396,13,0.4459999909158796,50,80,0.3,3,3
dijkstra,1,86.56854249492373,27,13.001600003917702,4338,80,0.3,4,4
astar,1,86.56854249492375,29,2.0020000083604828,469,80,0.3,4,4
weighted_astar,1,88.81118318204301,26,0.48719999904278666,110,80,0.3,4,4
jps_like,1,86.56854249492378,30,3.9853999915067106,443,80,0.3,4,4
improved_astar,1,83.51349163621572,23,0.9978000016417354,105,80,0.3,4,4
dijkstra,1,88.56854249492376,30,14.14999998814892,3928,80,0.3,5,5
astar,1,88.56854249492376,29,2.6566000015009195,697,80,0.3,5,5
weighted_astar,1,89.15432893255064,39,0.37930000689812005,89,80,0.3,5,5
jps_like,1,88.56854249492375,35,5.5493000108981505,698,80,0.3,5,5
improved_astar,1,84.28310293267678,21,0.5630000086966902,64,80,0.3,5,5
dijkstra,1,45.55634918610404,17,9.259000013116747,2980,80,0.3,6,6
astar,1,45.55634918610404,17,0.7040000054985285,174,80,0.3,6,6
weighted_astar,1,48.04163056034261,20,0.24930000654421747,58,80,0.3,6,6
jps_like,1,45.55634918610404,19,1.5725999983260408,184,80,0.3,6,6
improved_astar,1,44.02038926206285,9,0.5225999921094626,30,80,0.3,6,6
dijkstra,1,54.79898987322332,17,8.493100001942366,2569,80,0.3,7,7
astar,1,54.79898987322332,17,1.3955000031273812,318,80,0.3,7,7
weighted_astar,1,54.79898987322333,18,0.3496999997878447,70,80,0.3,7,7
jps_like,1,54.79898987322331,21,3.185300010954961,316,80,0.3,7,7
improved_astar,1,50.63553794370099,11,0.5002000107197091,45,80,0.3,7,7
dijkstra,1,67.254833995939,23,10.750300003564917,3237,80,0.3,8,8
astar,1,67.254833995939,23,1.3583999971160665,349,80,0.3,8,8
weighted_astar,1,67.59797974644663,28,0.3257000062149018,72,80,0.3,8,8
jps_like,1,67.254833995939,23,3.1239999952958897,350,80,0.3,8,8
improved_astar,1,63.8726026765368,19,0.4050000134157017,42,80,0.3,8,8
dijkstra,1,47.14213562373095,15,11.889700006577186,3167,80,0.3,9,9
astar,1,47.14213562373095,11,0.7623999990755692,170,80,0.3,9,9
weighted_astar,1,47.970562748477136,16,0.27779999072663486,47,80,0.3,9,9
jps_like,1,47.14213562373095,18,1.4823999954387546,162,80,0.3,9,9
improved_astar,1,43.937891663527786,8,0.31689999741502106,31,80,0.3,9,9
dijkstra,1,8.242640687119284,4,0.34819998836610466,103,80,0.3,10,10
astar,1,8.242640687119284,4,0.03949999518226832,8,80,0.3,10,10
weighted_astar,1,8.242640687119284,4,0.03460000152699649,8,80,0.3,10,10
jps_like,1,8.242640687119284,4,0.058599995099939406,7,80,0.3,10,10
improved_astar,1,7.3005630797457695,1,0.05259999306872487,6,80,0.3,10,10
dijkstra,1,28.142135623730955,10,4.3569000117713585,1286,80,0.3,11,11
astar,1,28.142135623730955,10,0.33999999868683517,81,80,0.3,11,11
weighted_astar,1,28.142135623730955,10,0.20560000848490745,50,80,0.3,11,11
jps_like,1,28.14213562373095,10,0.7291999936569482,88,80,0.3,11,11
improved_astar,1,26.600375449419786,7,0.2717000024858862,29,80,0.3,11,11
dijkstra,1,69.45584412271567,29,12.391800002660602,3714,80,0.3,12,12
astar,1,69.45584412271567,26,2.8040000033797696,482,80,0.3,12,12
weighted_astar,1,71.94112549695427,24,0.4622999986167997,72,80,0.3,12,12
jps_like,1,69.45584412271567,24,4.649299997254275,482,80,0.3,12,12
improved_astar,1,66.63292806537241,15,0.5379999929573387,44,80,0.3,12,12
dijkstra,1,17.48528137423857,7,1.5883000014582649,462,80,0.3,13,13
astar,1,17.48528137423857,8,0.16739999409765005,37,80,0.3,13,13
weighted_astar,1,17.48528137423857,8,0.08349999552592635,18,80,0.3,13,13
jps_like,1,17.48528137423857,5,0.3558000025805086,37,80,0.3,13,13
improved_astar,1,15.32455532033676,4,0.12739999510813504,12,80,0.3,13,13
dijkstra,1,38.31370849898476,9,3.088400000706315,948,80,0.3,14,14
astar,1,38.31370849898476,9,0.4675000091083348,107,80,0.3,14,14
weighted_astar,1,42.21320343559643,20,0.2294000005349517,52,80,0.3,14,14
jps_like,1,38.31370849898476,12,0.989699998172,109,80,0.3,14,14
improved_astar,1,36.64538495313018,11,0.3873000096064061,41,80,0.3,14,14
dijkstra,1,43.35533905932736,11,7.656699992367066,2333,80,0.3,15,15
astar,1,43.35533905932736,11,0.3285999991931021,76,80,0.3,15,15
weighted_astar,1,43.35533905932737,13,0.17880000814329833,35,80,0.3,15,15
jps_like,1,43.355339059327356,15,0.8340000058524311,82,80,0.3,15,15
improved_astar,1,42.09512975560555,9,0.258100000792183,22,80,0.3,15,15
dijkstra,1,16.142135623730955,3,0.818000000435859,261,80,0.3,16,16
astar,1,16.142135623730955,4,0.0720999960321933,15,80,0.3,16,16
weighted_astar,1,16.142135623730955,4,0.05830000736750662,13,80,0.3,16,16
jps_like,1,16.14213562373095,5,0.07509998977184296,8,80,0.3,16,16
improved_astar,1,15.676619087329465,2,0.10869999823626131,8,80,0.3,16,16
dijkstra,1,23.656854249492383,7,3.4417000133544207,1038,80,0.3,17,17
astar,1,23.656854249492383,6,0.18679999629966915,46,80,0.3,17,17
weighted_astar,1,24.485281374238575,9,0.12499999138526618,30,80,0.3,17,17
jps_like,1,23.656854249492383,6,0.3777000092668459,46,80,0.3,17,17
