algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id,seed_tag
weighted_astar,1,4.242640687119286,2,0.0094999995781108,4,20,0.7,12,12,42
jps_like,1,4.242640687119286,2,0.0155000016093254,4,20,0.7,12,12,42
improved_astar,1,3.414213562373095,1,0.0139000039780512,4,20,0.7,12,12,42
dijkstra,1,2.0,0,0.0457999994978308,6,20,0.7,13,13,42
astar,1,2.0,0,0.0202999945031479,3,20,0.7,13,13,42
weighted_astar,1,2.0,0,0.011700001778081,3,20,0.7,13,13,42
jps_like,1,2.0,0,0.0130999978864565,2,20,0.7,13,13,42
improved_astar,1,2.0,0,0.0204999960260465,3,20,0.7,13,13,42
dijkstra,1,7.82842712474619,4,0.0699999945936724,23,20,0.7,14,14,42
astar,1,7.82842712474619,4,0.0361999991582706,9,20,0.7,14,14,42
weighted_astar,1,7.82842712474619,4,0.0294000055873766,8,20,0.7,14,14,42
jps_like,1,7.82842712474619,4,0.052000003051944,9,20,0.7,14,14,42
improved_astar,1,7.06449510224598,2,0.094499991973862,14,20,0.7,14,14,42
dijkstra,1,6.242640687119285,1,0.0390000059269368,13,20,0.7,15,15,42
astar,1,6.242640687119285,1,0.0261999957729131,7,20,0.7,15,15,42
weighted_astar,1,6.242640687119285,1,0.0236000050790607,7,20,0.7,15,15,42
jps_like,1,6.242640687119285,2,0.0289000017801299,5,20,0.7,15,15,42
improved_astar,1,5.841619252963779,1,0.0368000037269666,7,20,0.7,15,15,42
dijkstra,1,5.242640687119286,2,0.0330000038957223,11,20,0.7,16,16,42
astar,1,5.242640687119286,2,0.0228999997489154,7,20,0.7,16,16,42
weighted_astar,1,5.242640687119286,2,0.0216000044019892,7,20,0.7,16,16,42
jps_like,1,5.242640687119286,2,0.0329000031342729,7,20,0.7,16,16,42
improved_astar,1,4.23606797749979,2,0.0350999907823279,8,20,0.7,16,16,42
dijkstra,1,2.414213562373095,1,0.0236000050790607,7,20,0.7,17,17,42
astar,1,2.414213562373095,1,0.0115000002551823,3,20,0.7,17,17,42
weighted_astar,1,2.414213562373095,1,0.0098000018624588,3,20,0.7,17,17,42
jps_like,1,2.414213562373095,1,0.0159999908646568,3,20,0.7,17,17,42
improved_astar,1,2.414213562373095,1,0.0158000038936734,3,20,0.7,17,17,42
dijkstra,1,2.414213562373095,1,0.0214000028790906,6,20,0.7,18,18,42
astar,1,2.414213562373095,1,0.011099997209385,3,20,0.7,18,18,42
weighted_astar,1,2.414213562373095,1,0.0093999988166615,3,20,0.7,18,18,42
jps_like,1,2.414213562373095,1,0.0137000024551525,3,20,0.7,18,18,42
improved_astar,1,2.23606797749979,0,0.0185000099008902,4,20,0.7,18,18,42
dijkstra,1,6.82842712474619,3,0.076900003477931,25,20,0.7,19,19,42
astar,1,6.82842712474619,3,0.0330000038957223,9,20,0.7,19,19,42
weighted_astar,1,6.82842712474619,3,0.0308000016957521,9,20,0.7,19,19,42
jps_like,1,6.82842712474619,3,0.0580999912926927,9,20,0.7,19,19,42
improved_astar,1,6.650281539872885,3,0.0752000050852075,12,20,0.7,19,19,42
dijkstra,1,2.0,0,0.0180000060936436,3,20,0.7,20,20,42
astar,1,2.0,0,0.0096000003395602,3,20,0.7,20,20,42
weighted_astar,1,2.0,0,0.0066000065999105,3,20,0.7,20,20,42
jps_like,1,2.0,0,0.0129999971250072,3,20,0.7,20,20,42
improved_astar,1,2.0,0,0.0184000091394409,3,20,0.7,20,20,42
dijkstra,1,2.414213562373095,1,0.0142999924719333,4,20,0.7,21,21,42
astar,1,2.414213562373095,1,0.0097000011010095,3,20,0.7,21,21,42
weighted_astar,1,2.414213562373095,1,0.008000002708286,3,20,0.7,21,21,42
jps_like,1,2.414213562373095,1,0.011099997209385,3,20,0.7,21,21,42
improved_astar,1,2.414213562373095,1,0.0112999987322837,3,20,0.7,21,21,42
dijkstra,1,5.242640687119285,2,0.0463000033050775,16,20,0.7,22,22,42
astar,1,5.242640687119285,2,0.0253000034717842,6,20,0.7,22,22,42
weighted_astar,1,5.242640687119285,2,0.0199999922187998,6,20,0.7,22,22,42
jps_like,1,5.242640687119285,2,0.0331999908667057,6,20,0.7,22,22,42
improved_astar,1,4.23606797749979,1,0.0415999966207891,7,20,0.7,22,22,42
dijkstra,1,17.142135623730955,7,0.1076000044122338,40,20,0.7,23,23,42
astar,1,17.142135623730955,7,0.0637000048300251,20,20,0.7,23,23,42
weighted_astar,1,17.142135623730955,7,0.1485000102547928,19,20,0.7,23,23,42
jps_like,1,17.14213562373095,8,0.0884000037331134,17,20,0.7,23,23,42
improved_astar,1,14.727968770336457,6,0.1208000030601397,26,20,0.7,23,23,42
dijkstra,1,2.0,0,0.0240999943343922,7,20,0.7,24,24,42
astar,1,2.0,0,0.0141000055009499,3,20,0.7,24,24,42
weighted_astar,1,2.0,0,0.0103000056697055,3,20,0.7,24,24,42
jps_like,1,2.0,0,0.0152000138768926,3,20,0.7,24,24,42
improved_astar,1,2.0,0,0.0139000039780512,3,20,0.7,24,24,42
dijkstra,1,1.0,0,0.0123999925563111,3,20,0.7,25,25,42
astar,1,1.0,0,0.0071000104071572,2,20,0.7,25,25,42
weighted_astar,1,1.0,0,0.0058000005083158,2,20,0.7,25,25,42
jps_like,1,1.0,0,0.0094999995781108,2,20,0.7,25,25,42
improved_astar,1,1.0,0,0.0096000003395602,2,20,0.7,25,25,42
dijkstra,1,5.82842712474619,1,0.0670000008540228,19,20,0.7,26,26,42
astar,1,5.82842712474619,1,0.0283999979728832,7,20,0.7,26,26,42
weighted_astar,1,5.82842712474619,1,0.0268000003416091,7,20,0.7,26,26,42
jps_like,1,5.82842712474619,1,0.044600004912354,7,20,0.7,26,26,42
improved_astar,1,5.39834563766817,1,0.0497000000905245,8,20,0.7,26,26,42
dijkstra,1,2.0,0,0.0219000066863372,6,20,0.7,27,27,42
astar,1,2.0,0,0.0112999987322837,3,20,0.7,27,27,42
weighted_astar,1,2.0,0,0.0100000033853575,3,20,0.7,27,27,42
jps_like,1,2.0,0,0.0105999934021383,2,20,0.7,27,27,42
improved_astar,1,2.0,0,0.0165999954333528,3,20,0.7,27,27,42
dijkstra,1,8.071067811865476,5,0.0287000002572312,8,20,0.7,28,28,42
astar,1,8.071067811865476,5,0.0228999997489154,8,20,0.7,28,28,42
weighted_astar,1,8.071067811865476,5,0.0217999913729727,8,20,0.7,28,28,42
